Date,ProductID,SalesRegion,SalesChannel,Discount,ProductName,QuantitySold,UnitPrice,TotalSales
2025-01-01,7,North,Retail,0.2,Nike Air Max,2,53.53,85.64800000000001
2025-01-02,6,South,Retail,0.12,Levi Jeans,4,83.1,292.512
2025-01-03,2,North,Wholesale,0.03,Galaxy S21,1,48.31,46.8607
2025-01-04,17,North,Retail,0.05,Barbie Doll,7,52.48,348.99199999999996
2025-01-05,10,North,Retail,0.21,Puma T-shirt,11,11.83,102.8027
2025-01-06,12,West,Retail,0.12,Instant Pot Duo,17,89.5,1338.92
2025-01-07,13,West,Retail,0.07,Nespresso Vertuo,5,88.08,409.57199999999995
2025-01-08,14,East,Retail,0.18,Roomba i7+,16,96.49,1265.9488000000001
2025-01-09,17,East,Retail,0.23,Barbie Doll,15,88.16,1018.2479999999999
2025-01-10,5,South,Retail,0.02,Sony WH-1000XM4,19,8.35,155.477
2025-01-11,10,South,Wholesale,0.29,Puma T-shirt,2,52.47,74.50739999999999
2025-01-12,9,North,Retail,0.16,North Face Jacket,9,40.61,307.0116
2025-01-13,6,North,Wholesale,0.09,Levi Jeans,14,95.7,1219.218
2025-01-14,19,West,Retail,0.16,Nerf Gun,2,22.86,38.404799999999994
2025-01-15,13,South,Retail,0.17,Nespresso Vertuo,6,9.68,48.206399999999995
2025-01-16,15,West,Retail,0.28,Philips Hue,1,82.61,59.4792
2025-01-17,4,East,Retail,0.28,Dell XPS 13,3,66.53,143.7048
2025-01-18,14,North,Retail,0.17,Roomba i7+,4,73.07,242.59239999999997
2025-01-19,15,South,Retail,0.21,Philips Hue,1,46.77,36.9483
2025-01-20,5,North,Retail,0.11,Sony WH-1000XM4,14,42.27,526.6842
2025-01-21,9,East,Retail,0.01,North Face Jacket,13,26.87,345.8169
2025-01-22,18,North,Online,0.17,Hot Wheels,17,93.15,1314.3465
2025-01-23,3,West,Wholesale,0.15,MacBook Pro,13,27.16,300.118
2025-01-24,13,North,Online,0.04,Nespresso Vertuo,6,75.28,433.6128
2025-01-25,2,North,Online,0.07,Galaxy S21,3,51.95,144.94050000000001
2025-01-26,10,West,Wholesale,0.28,Puma T-shirt,10,68.83,495.57599999999996
2025-01-27,16,West,Wholesale,0.11,Lego Set,14,67.15,836.6890000000001
2025-01-28,5,South,Wholesale,0.16,Sony WH-1000XM4,4,78.28,263.0208
2025-01-29,20,South,Wholesale,0.13,Play-Doh,14,50.76,618.2568
2025-01-30,17,West,Online,0.11,Barbie Doll,1,98.23,87.4247
2025-01-31,17,West,Retail,0.04,Barbie Doll,11,76.79,810.9024000000001
2025-02-01,10,South,Wholesale,0.09,Puma T-shirt,13,15.33,181.3539
2025-02-02,11,South,Wholesale,0.06,Dyson V11,6,58.08,327.5712
2025-02-03,9,East,Wholesale,0.0,North Face Jacket,3,14.56,43.68
2025-02-04,5,North,Wholesale,0.15,Sony WH-1000XM4,9,23.22,177.63299999999998
2025-02-05,3,North,Online,0.3,MacBook Pro,5,98.44,344.53999999999996
2025-02-06,9,North,Retail,0.26,North Face Jacket,6,6.41,28.4604
2025-02-07,12,East,Retail,0.2,Instant Pot Duo,2,8.77,14.032
2025-02-08,11,East,Wholesale,0.22,Dyson V11,2,64.74,100.9944
2025-02-09,11,South,Online,0.08,Dyson V11,8,26.9,197.984
2025-02-10,16,West,Wholesale,0.15,Lego Set,13,9.86,108.953
2025-02-11,9,North,Wholesale,0.17,North Face Jacket,7,28.44,165.2364
2025-02-12,1,South,Wholesale,0.17,iPhone,1,23.4,19.421999999999997
2025-02-13,8,North,Wholesale,0.17,Adidas Hoodie,19,59.95,945.4114999999999
2025-02-14,18,West,Retail,0.04,Hot Wheels,6,51.13,294.5088
2025-02-15,9,South,Wholesale,0.14,North Face Jacket,9,33.2,256.968
2025-02-16,19,East,Retail,0.01,Nerf Gun,1,23.32,23.0868
2025-02-17,1,South,Retail,0.15,iPhone,4,55.08,187.272
2025-02-18,3,East,Retail,0.01,MacBook Pro,12,52.95,629.046
2025-02-19,11,West,Online,0.16,Dyson V11,15,91.05,1147.23
2025-02-20,3,South,Retail,0.05,MacBook Pro,5,90.7,430.825
2025-02-21,14,South,Online,0.28,Roomba i7+,1,16.96,12.2112
2025-02-22,8,South,Wholesale,0.01,Adidas Hoodie,10,76.57,758.0429999999999
2025-02-23,11,West,Wholesale,0.06,Dyson V11,10,61.14,574.7159999999999
2025-02-24,17,North,Retail,0.28,Barbie Doll,13,98.02,917.4671999999999
2025-02-25,17,South,Retail,0.12,Barbie Doll,1,72.65,63.932
2025-02-26,14,North,Retail,0.27,Roomba i7+,15,88.59,970.0605
2025-02-27,19,North,Online,0.23,Nerf Gun,7,58.74,316.6086
2025-02-28,12,West,Retail,0.06,Instant Pot Duo,7,63.62,418.61959999999993
2025-03-01,7,East,Retail,0.21,Nike Air Max,8,67.74,428.1168
2025-03-02,5,East,Online,0.19,Sony WH-1000XM4,6,79.62,386.95320000000004
2025-03-03,7,East,Wholesale,0.14,Nike Air Max,4,48.76,167.7344
2025-03-04,13,West,Retail,0.06,Nespresso Vertuo,13,15.01,183.42219999999998
2025-03-05,19,East,Online,0.05,Nerf Gun,9,31.49,269.23949999999996
2025-03-06,4,South,Retail,0.21,Dell XPS 13,12,56.71,537.6108
2025-03-07,8,South,Online,0.07,Adidas Hoodie,15,98.68,1376.586
2025-03-08,10,East,Online,0.16,Puma T-shirt,2,34.77,58.4136
2025-03-09,15,East,Wholesale,0.13,Philips Hue,2,46.44,80.8056
2025-03-10,11,East,Wholesale,0.03,Dyson V11,8,50.73,393.66479999999996
2025-03-11,6,East,Online,0.18,Levi Jeans,12,24.29,239.01360000000003
2025-03-12,4,North,Online,0.02,Dell XPS 13,11,23.9,257.642
2025-03-13,20,East,Retail,0.19,Play-Doh,1,94.48,76.5288
2025-03-14,11,East,Online,0.21,Dyson V11,16,49.48,625.4272
2025-03-15,2,East,Online,0.04,Galaxy S21,16,19.04,292.45439999999996
2025-03-16,5,North,Online,0.07,Sony WH-1000XM4,1,86.25,80.21249999999999
2025-03-17,6,West,Retail,0.03,Levi Jeans,6,92.18,536.4876
2025-03-18,14,West,Online,0.01,Roomba i7+,9,5.66,50.4306
2025-03-19,14,South,Online,0.14,Roomba i7+,16,57.13,786.1088
2025-03-20,17,South,Retail,0.15,Barbie Doll,16,47.7,648.72
2025-03-21,9,North,Online,0.1,North Face Jacket,13,95.12,1112.904
2025-03-22,11,North,Wholesale,0.13,Dyson V11,10,87.75,763.425
2025-03-23,2,North,Wholesale,0.03,Galaxy S21,19,7.03,129.56289999999998
2025-03-24,5,South,Online,0.05,Sony WH-1000XM4,1,40.01,38.009499999999996
2025-03-25,2,East,Wholesale,0.06,Galaxy S21,9,33.7,285.102
2025-03-26,13,North,Retail,0.13,Nespresso Vertuo,19,40.38,667.4814
2025-03-27,19,West,Online,0.28,Nerf Gun,10,26.07,187.70399999999998
2025-03-28,2,East,Online,0.04,Galaxy S21,8,41.32,317.3376
2025-03-29,6,West,Wholesale,0.02,Levi Jeans,10,97.17,952.2660000000001
2025-03-30,12,South,Retail,0.18,Instant Pot Duo,1,65.15,53.42300000000001
2025-03-31,2,East,Wholesale,0.15,Galaxy S21,3,55.72,142.08599999999998
2025-04-01,15,South,Retail,0.27,Philips Hue,11,41.07,329.7921
2025-04-02,12,North,Retail,0.2,Instant Pot Duo,11,13.15,115.72000000000001
2025-04-03,15,North,Wholesale,0.15,Philips Hue,7,31.15,185.34249999999997
2025-04-04,1,North,Retail,0.28,iPhone,14,57.26,577.1808
2025-04-05,2,North,Wholesale,0.0,Galaxy S21,5,10.78,53.9
2025-04-06,16,North,Online,0.01,Lego Set,13,77.15,992.9205000000001
2025-04-07,17,North,Retail,0.05,Barbie Doll,19,91.82,1657.3509999999999
2025-04-08,11,West,Retail,0.07,Dyson V11,5,37.54,174.56099999999998
2025-04-09,12,East,Wholesale,0.06,Instant Pot Duo,3,10.68,30.117599999999996
2025-04-10,14,South,Online,0.07,Roomba i7+,4,43.18,160.62959999999998
